time,chord
7.960,Ebj7
9.830,F-
10.780,Bb7
11.680,Ebj7
13.550,Eb-
14.480,Ab7
15.420,Dbj7
17.260,G-7
18.180,C7
19.120,Fj7
20.960,Fm7b5
21.880,Bb7
22.780,Ebj7
24.640,F-
25.590,Bb7
26.500,Ebj7
28.340,Eb-
29.280,Ab7
30.200,Dbj7
32.050,G-7
32.990,C7
33.920,Fj7
35.780,Fm7b5
36.680,Bb7
37.140,A79b
37.590,Abj7
39.390,Abj7
41.200,Ab-
42.980,Db7
44.840,Gbj7
46.640,Gbj7
48.420,Fm7b5
50.250,Bb7
52.060,Ebj7
53.890,F-
54.790,Bb7
55.710,Ebj7
57.540,Eb-7
58.440,Ab7
59.360,Dbj7
61.160,G-7
62.080,C7
63.000,Fj7
64.860,Fm7b5
65.770,Bb7
66.690,Eb7
67.570,D7
68.470,Db7
69.410,C7
70.300,F-7
72.110,Ebj7
73.940,Ebj7
75.750,F-
76.670,Bb7
77.580,Ebj7
79.390,Eb-
80.280,Ab7
81.190,Dbj7
82.970,G-7
83.860,C7
84.780,Fj7
86.570,Fm7b5
87.460,Bb7
88.350,Ebj7
90.120,F-
91.000,Bb7
91.920,Ebj7
93.680,Eb-
94.570,Ab7
95.460,Dbj7
97.250,G-7
98.140,C7
99.050,Fj7
100.840,Fm7b5
101.740,Bb7
102.190,A79b
102.640,Abj7
104.460,Abj7
106.210,Ab-
108.030,Db7
109.830,Gbj7
111.600,Gbj7
113.410,Fm7b5
115.220,Bb7
117.040,Ebj7
118.850,F-
119.750,Bb7
120.640,Ebj7
122.430,Eb-7
123.320,Ab7
124.220,Dbj7
126.020,G-7
126.920,C7
127.830,Fj7
129.630,Fm7b5
130.530,Bb7
131.420,Eb7
132.310,D7
133.210,Db7
134.100,C7
134.990,F-7
136.750,Ebj7
138.530,Ebj7
140.300,F-
141.220,Bb7
142.100,Ebj7
143.880,Eb-
144.760,Ab7
145.670,Dbj7
147.430,G-7
148.290,C7
149.160,Fj7
150.870,Fm7b5
151.750,Bb7
152.650,Ebj7
154.470,F-
155.360,Bb7
156.250,Ebj7
158.010,Eb-
158.890,Ab7
159.760,Dbj7
161.570,G-7
162.480,C7
163.340,Fj7
165.120,Fm7b5
166.030,Bb7
166.480,A79b
166.910,Abj7
168.720,Abj7
170.490,Ab-
172.270,Db7
174.080,Gbj7
175.850,Gbj7
177.600,Fm7b5
179.360,Bb7
181.170,Ebj7
182.990,F-
183.910,Bb7
184.820,Ebj7
186.630,Eb-7
187.540,Ab7
188.430,Dbj7
190.260,G-7
191.170,C7
192.090,Fj7
193.910,Fm7b5
194.830,Bb7
195.740,Eb7
196.650,D7
197.550,Db7
198.440,C7
199.360,F-7
201.220,Ebj7
