time,chord
0.220,B:maj7
0.640,D:7
1.060,G:maj7
1.470,Bb:7
1.860,Eb:maj7
2.730,A:min7
3.150,D:7
3.590,G:maj7
4.010,Bb:7
4.440,Eb:maj7
4.860,F#:7
5.270,B:maj7
6.130,F:min7
6.540,Bb:7
6.960,Eb:maj7
7.790,A:min7
8.200,D:7
8.620,G:maj7
9.430,C#:min7
9.840,F#:7
10.260,B:maj7
11.080,F:min7
11.480,Bb:7
11.890,Eb:maj7
12.730,C#:min7
13.170,F#:7
13.600,B:maj7
14.030,D:7
14.460,G:maj7
14.880,Bb:7
15.300,Eb:maj7
16.160,A:min7
16.590,D:7
17.040,G:maj7
17.470,Bb:7
17.880,Eb:maj7
18.320,F#:7
18.740,B:maj7
19.580,F:min7
20.000,Bb:7
20.430,Eb:maj7
21.280,A:min7
21.690,D:7
22.080,G:maj7
22.930,C#:min7
23.360,F#:7
23.770,B:maj7
24.600,F:min7
25.020,Bb:7
25.430,Eb:maj7
26.260,C#:min7
26.670,F#:7
27.080,B:maj7
27.510,D:7
27.920,G:maj7
28.350,Bb:7
28.760,Eb:maj7
29.580,A:min7
30.000,D:7
30.400,G:maj7
30.810,Bb:7
31.210,Eb:maj7
31.620,F#:7
32.040,B:maj7
32.850,F:min7
33.270,Bb:7
33.680,Eb:maj7
34.500,A:min7
34.920,D:7
35.330,G:maj7
36.150,C#:min7
36.580,F#:7
36.980,B:maj7
37.810,F:min7
38.230,Bb:7
38.650,Eb:maj7
39.470,C#:min7
39.900,F#:7
40.320,B:maj7
40.730,D:7
41.140,G:maj7
41.550,Bb:7
41.970,Eb:maj7
42.800,A:min7
43.210,D:7
43.620,G:maj7
44.040,Bb:7
44.440,Eb:maj7
44.840,F#:7
45.260,B:maj7
46.070,F:min7
46.490,Bb:7
46.910,Eb:maj7
47.730,A:min7
48.140,D:7
48.550,G:maj7
49.350,C#:min7
49.760,F#:7
50.180,B:maj7
51.000,F:min7
51.420,Bb:7
51.830,Eb:maj7
52.650,C#:min7
53.070,F#:7
53.490,B:maj7
53.900,D:7
54.320,G:maj7
54.730,Bb:7
55.140,Eb:maj7
55.960,A:min7
56.380,D:7
56.800,G:maj7
57.210,Bb:7
57.630,Eb:maj7
58.040,F#:7
58.450,B:maj7
59.290,F:min7
59.710,Bb:7
60.130,Eb:maj7
60.980,A:min7
61.390,D:7
61.810,G:maj7
62.650,C#:min7
63.070,F#:7
63.480,B:maj7
64.330,F:min7
64.750,Bb:7
65.160,Eb:maj7
65.980,C#:min7
66.390,F#:7
66.800,B:maj7
67.200,D:7
67.620,G:maj7
68.040,Bb:7
68.440,Eb:maj7
69.250,A:min7
69.680,D:7
70.090,G:maj7
70.500,Bb:7
