time,chord
59.347,G:maj7
60.295,G:maj6
61.235,G:maj7
62.190,G:maj6
63.090,G:min7
64.005,G:min6
64.935,G:min7
65.855,G:min6
66.765,A:hdim7
67.700,D:7
68.650,B:hdim7
69.620,E:7
70.550,A:min7
71.500,D:7
72.430,G:maj7
73.370,G:maj7
74.270,C:min7
75.190,F:7
76.110,Bb:maj7
77.000,G:min7
77.870,C:min7
78.740,F:7
79.600,Bb:maj7
80.490,Bb:maj7
81.350,A:min7
82.220,D:7
83.100,G:maj7
83.990,G:maj7
84.830,F#:min7
85.710,B:7
86.550,E:maj7
87.412,A:min7
87.864,D:7
88.294,G:maj7
89.243,G:maj6
90.094,G:maj7
90.974,G:maj6
91.872,G:min7
92.752,G:min6
93.643,G:min7
94.534,G:min6
95.403,A:hdim7
96.304,D:7
97.200,B:hdim7
98.130,E:7
99.030,A:min7
99.910,D:7
100.830,G:maj7
101.770,N
102.670,G:maj7
103.590,G:maj6
104.490,G:maj7
105.330,G:maj6
106.200,G:min7
107.040,G:min6
107.920,G:min7
108.750,G:min6
109.600,A:hdim7
110.470,D:7
111.310,B:hdim7
112.150,E:7
113.000,A:min7
113.850,D:7
114.680,G:maj7
115.530,G:maj7
116.380,C:min7
117.230,F:7
118.070,Bb:maj7
118.910,G:min7
119.740,C:min7
120.590,F:7
121.430,Bb:maj7
122.280,Bb:maj7
123.120,A:min7
123.980,D:7
124.840,G:maj7
125.690,G:maj7
126.560,F#:min7
127.400,B:7
128.220,E:maj7
129.050,A:min7
129.460,D:7
129.860,G:maj7
130.710,G:maj6
131.550,G:maj7
132.390,G:maj6
133.230,G:min7
134.090,G:min6
134.960,G:min7
135.790,G:min6
136.630,A:hdim7
137.490,D:7
138.330,B:hdim7
139.150,E:7
140.010,A:min7
140.840,D:7
141.660,G:maj7
142.480,G:maj7
143.300,G:maj7
144.140,G:maj6
145.000,G:maj7
145.840,G:maj6
146.680,G:min7
147.520,G:min6
148.360,G:min7
149.163,G:min6
149.990,A:hdim7
150.820,D:7
151.660,B:hdim7
152.500,E:7
153.340,A:min7
154.180,D:7
155.015,G:maj7
155.845,G:maj7
156.665,C:min7
157.480,F:7
158.300,Bb:maj7
159.120,G:min7
159.925,C:min7
160.760,F:7
161.565,Bb:maj7
162.405,Bb:maj7
163.240,A:min7
164.085,D:7
164.945,G:maj7
165.795,G:maj7
166.655,F#:min7
167.515,B:7
168.355,E:maj7
169.205,A:min7
169.615,D:7
170.040,G:maj7
170.865,G:maj6
171.705,G:maj7
172.515,G:maj6
173.335,G:min7
174.165,G:min6
175.005,G:min7
175.840,G:min6
176.670,A:hdim7
177.500,D:7
178.355,B:hdim7
179.195,E:7
180.025,A:min7
180.860,D:7
181.710,G:maj7
182.525,G:maj7
183.350,G:maj7
184.175,G:maj6
185.030,G:maj7
185.860,G:maj6
186.700,G:min7
187.530,G:min6
188.375,G:min7
189.200,G:min6
190.020,A:hdim7
190.845,D:7
191.680,B:hdim7
192.520,E:7
193.350,A:min7
194.180,D:7
195.020,G:maj7
195.845,G:maj7
196.675,C:min7
197.495,F:7
198.330,Bb:maj7
199.145,G:min7
199.965,C:min7
200.775,F:7
201.595,Bb:maj7
202.410,Bb:maj7
203.240,A:min7
204.075,D:7
204.900,G:maj7
205.725,G:maj7
206.550,F#:min7
207.390,B:7
208.170,E:maj7
209.000,A:min7
209.415,D:7
209.820,G:maj7
210.640,G:maj6
211.455,G:maj7
212.275,G:maj6
213.105,G:min7
213.930,G:min6
214.745,G:min7
215.575,G:min6
216.405,A:hdim7
217.225,D:7
218.050,B:hdim7
218.860,E:7
219.655,A:min7
220.475,D:7
221.315,G:maj7
222.155,G:maj7
222.980,G:maj7
223.800,G:maj6
224.640,G:maj7
225.485,G:maj6
226.315,G:min7
227.155,G:min6
227.995,G:min7
228.820,G:min6
229.655,A:hdim7
230.480,D:7
231.315,B:hdim7
232.165,E:7
232.995,A:min7
233.835,D:7
234.645,G:maj7
235.460,G:maj7
236.280,C:min7
237.130,F:7
237.940,Bb:maj7
238.755,G:min7
239.595,C:min7
240.415,F:7
241.220,Bb:maj7
242.040,Bb:maj7
242.870,A:min7
243.690,D:7
244.500,G:maj7
245.330,G:maj7
246.160,F#:min7
246.975,B:7
247.790,E:maj7
248.610,A:min7
249.020,D:7
249.440,G:maj7
250.250,G:maj6
251.080,G:maj7
251.895,G:maj6
252.730,G:min7
253.565,G:min6
254.390,G:min7
255.205,G:min6
256.040,A:hdim7
256.870,D:7
257.685,B:hdim7
258.495,E:7
259.315,A:min7
260.130,D:7
260.960,G:maj7
261.740,G:maj7
262.575,G:maj7
263.380,G:maj6
264.210,G:maj7
265.050,G:maj6
265.890,G:min7
266.720,G:min6
267.555,G:min7
268.385,G:min6
269.220,A:hdim7
270.035,D:7
270.865,B:hdim7
271.685,E:7
272.505,A:min7
273.320,D:7
274.125,G:maj7
274.950,G:maj7
275.780,C:min7
276.595,F:7
277.420,Bb:maj7
278.235,G:min7
279.060,C:min7
279.875,F:7
280.700,Bb:maj7
281.510,Bb:maj7
282.325,A:min7
283.135,D:7
283.965,G:maj7
284.785,G:maj7
285.600,F#:min7
286.430,B:7
287.250,E:maj7
288.060,A:min7
288.460,D:7
288.865,G:maj7
289.680,G:maj6
290.480,G:maj7
291.285,G:maj6
292.070,G:min7
292.880,G:min6
293.675,G:min7
294.480,G:min6
295.270,A:hdim7
296.090,D:7
296.900,B:hdim7
297.695,E:7
298.485,A:min7
299.290,D:7
300.095,G:maj7
300.895,G:maj7
301.725,G:maj7
302.535,G:maj6
303.360,G:maj7
304.185,G:maj6
305.000,G:min7
305.815,G:min6
306.640,G:min7
307.460,G:min6
308.280,A:hdim7
309.085,D:7
309.890,B:hdim7
310.695,E:7
311.485,A:min7
312.295,D:7
313.090,G:maj7
313.905,G:maj7
314.710,C:min7
315.510,F:7
316.335,Bb:maj7
317.140,G:min7
317.955,C:min7
318.765,F:7
319.560,Bb:maj7
320.365,Bb:maj7
321.165,A:min7
321.965,D:7
322.765,G:maj7
323.575,G:maj7
324.385,F#:min7
325.180,B:7
325.985,E:maj7
326.775,A:min7
327.170,D:7
327.565,G:maj7
328.375,G:maj6
329.170,G:maj7
329.965,G:maj6
330.760,G:min7
331.550,G:min6
332.340,G:min7
333.140,G:min6
333.945,A:hdim7
334.740,D:7
335.550,B:hdim7
336.345,E:7
337.150,A:min7
337.960,D:7
338.765,G:maj7
339.565,G:maj7
340.360,N
410.590,G:maj7
411.390,G:maj6
412.160,G:maj7
412.930,G:maj6
413.690,G:min7
414.470,G:min6
415.250,G:min7
416.020,G:min6
416.780,A:hdim7
417.570,D:7
418.340,B:hdim7
419.130,E:7
419.900,A:min7
420.680,D:7
421.450,G:maj7
422.230,G:maj7
422.980,C:min7
423.750,F:7
424.550,Bb:maj7
425.320,G:min7
426.090,C:min7
426.870,F:7
427.630,Bb:maj7
428.400,Bb:maj7
429.170,A:min7
429.920,D:7
430.710,G:maj7
431.490,G:maj7
432.240,F#:min7
433.020,B:7
433.810,E:maj7
434.590,A:min7
434.950,D:7
435.330,G:maj7
436.100,G:maj6
436.890,G:maj7
437.670,G:maj6
438.430,G:min7
439.200,G:min6
439.960,G:min7
440.720,G:min6
441.490,A:hdim7
442.290,D:7
443.050,B:hdim7
443.820,E:7
444.600,A:min7
445.360,D:7
446.100,G:maj7
446.870,G:maj7
447.630,G:maj7
448.400,G:maj6
449.180,G:maj7
449.950,G:maj6
450.720,G:min7
451.520,G:min6
452.270,G:min7
453.040,G:min6
453.810,A:hdim7
454.580,D:7
455.350,B:hdim7
456.130,E:7
456.920,A:min7
457.680,D:7
458.430,G:maj7
459.210,G:maj7
459.950,C:min7
460.730,F:7
461.500,Bb:maj7
462.290,G:min7
463.060,C:min7
463.830,F:7
464.600,Bb:maj7
465.360,Bb:maj7
466.130,A:min7
466.920,D:7
467.680,G:maj7
468.470,G:maj7
469.250,F#:min7
470.040,B:7
470.820,E:maj7
471.590,A:min7
471.980,D:7
472.370,G:maj7
473.150,G:maj6
473.920,G:maj7
474.710,G:maj6
475.480,G:min7
476.280,G:min6
477.030,G:min7
477.820,G:min6
478.580,A:hdim7
479.360,D:7
480.160,B:hdim7
480.910,E:7
481.670,A:min7
482.420,D:7
483.190,G:maj7
484.000,G:maj7
484.810,G:maj7
485.693,G:maj6
486.502,G:maj7
487.342,G:maj6
488.173,G:min7
489.003,G:min6
489.834,G:min7
490.682,G:min6
491.514,A:hdim7
492.333,D:7
493.183,B:hdim7
493.962,E:7
494.770,A:min7
495.595,D:7
496.380,G:maj7
497.170,G:maj7
497.960,C:min7
498.740,F:7
499.545,Bb:maj7
500.320,G:min7
501.085,C:min7
501.875,F:7
502.640,Bb:maj7
503.430,Bb:maj7
504.200,A:min7
504.985,D:7
505.765,G:maj7
506.545,G:maj7
507.310,F#:min7
508.075,B:7
508.825,E:maj7
509.585,A:min7
509.985,D:7
510.385,G:maj7
511.200,G:maj6
512.035,G:maj7
512.855,G:maj6
513.665,G:min7
514.490,G:min6
515.305,G:min7
516.115,G:min6
516.935,A:hdim7
517.741,D:7
518.666,B:hdim7
519.418,E:7
520.200,A:min7
521.030,D:7
521.855,G:maj7
522.660,G:maj7
