time,chord
2425.2,F6
2440.8,F6
2452.8,F6
2467.0,F6
2480.6,D#b-7
2480.8,D#b-7
2513.0,D#b-7
2513.2,D#b-7
2534.8,Gb7
2535.0,Gb7
2558.4,Gb7
2558.6,Gb7
2590.8,C#bj7
2591.0,C#bj7
2616.4,C#bj7
2640.2,C#bj7
2640.4,C#bj7
2663.2,C#bj7
2689.4,Gm7b5
2689.6,Gm7b5
2721.6,Gm7b5
2721.8,Gm7b5
2740.2,C7
2740.4,C7
2760.0,C7
2774.2,F-7
2790.8,F-7
2809.8,Dm7b5
2810.0,Dm7b5
2824.0,Dm7b5
2840.2,Gm7b5
2849.2,Gm7b5
2849.4,Gm7b5
2865.2,C7
2873.2,C7
2885.6,F-6
2885.8,F-6
2907.0,F-6
2920.0,F-6
2920.2,F-6
2934.2,F-6
2948.0,Dm7b5
2948.2,Dm7b5
2967.0,Dm7b5
2986.6,G7
3003.8,G7
3004.0,G7
3018.4,C6
3030.0,C6
3041.6,C6
3041.8,C6
3064.8,C6
3074.2,A#-7
3097.6,A#-7
3119.0,D#b7
3132.6,D#b7
3145.2,Gbj7
3159.6,Gbj7
3180.2,Gbj7
3198.2,Gbj7
3212.6,Dm7b5
3212.8,Dm7b5
3233.6,Dm7b5
3250.6,G7
3250.8,G7
3269.8,G7
3278.0,C-7
3290.8,C-7
3305.2,Am7b5
3317.6,Am7b5
3317.8,Am7b5
3328.0,Dm7b5
3336.0,Dm7b5
3348.4,G7
3363.2,G7
3363.4,G7
3372.8,C6
3373.0,C6
3383.2,C6
3393.0,A-7
3402.6,A-7
3417.6,F6
3434.2,F6
3434.4,F6
3457.0,F6
3470.6,F6
3480.0,D#b-7
3498.6,D#b-7
3498.8,D#b-7
3509.4,Gb7
3509.6,Gb7
3533.0,Gb7
3533.2,Gb7
3560.2,C#bj7
3560.4,C#bj7
3579.6,C#bj7
3610.8,C#bj7
3611.0,C#bj7
3624.8,C#bj7
3637.8,Gm7b5
3648.6,Gm7b5
3648.8,Gm7b5
3662.6,C7
3676.6,C7
3687.0,F-7
3697.8,F-7
3709.6,Dm7b5
3719.0,Dm7b5
3732.8,Gm7b5
3744.2,Gm7b5
3752.4,C7
3761.4,C7
3771.0,F-6
3771.2,F-6
3788.6,F-6
3798.4,F-6
3816.8,F-6
3827.2,Dm7b5
3839.0,Dm7b5
3851.8,G7
3863.4,G7
3872.4,C6
3872.6,C6
3896.0,C6
3896.2,C6
3916.2,C6
3930.6,C6
3941.6,A#-7
3952.0,A#-7
3961.2,D#b7
3978.0,D#b7
3978.2,D#b7
3995.8,Gbj7
4013.8,Gbj7
4035.6,Gbj7
4054.8,Gbj7
4066.8,Dm7b5
4067.0,Dm7b5
4089.4,Dm7b5
4100.0,G7
4110.8,G7
4121.8,C-7
4122.0,C-7
4137.8,C-7
4138.0,C-7
4153.4,Am7b5
4153.6,Am7b5
4164.6,Am7b5
4164.8,Am7b5
4176.8,Dm7b5
4185.0,Dm7b5
4194.6,G7
4204.2,G7
4212.4,C6
4225.4,C6
4241.2,A-7
4259.4,A-7
4269.6,F6
4269.8,F6
4281.4,F6
4281.6,F6
4307.6,F6
4307.8,F6
4322.6,F6
4332.0,D#b-7
4332.2,D#b-7
4352.4,D#b-7
4362.4,Gb7
4372.0,Gb7
4380.8,C#bj7
4388.8,C#bj7
4401.4,C#bj7
4412.4,C#bj7
4420.6,Gm7b5
4428.6,Gm7b5
4440.6,C7
4450.4,C7
4461.6,F-7
4480.6,F-7
4480.8,F-7
4495.8,Dm7b5
4496.0,Dm7b5
4507.0,Dm7b5
4523.2,Gm7b5
4523.4,Gm7b5
4539.4,Gm7b5
4549.4,C7
4549.6,C7
4559.8,C7
4573.0,F-6
4573.2,F-6
4585.8,F-6
4604.6,F-6
4604.8,F-6
4628.0,F-6
4628.2,F-6
4656.6,Dm7b5
4670.2,Dm7b5
4691.0,G7
4691.2,G7
4711.4,G7
4711.6,G7
4725.0,C6
4734.0,C6
4746.4,C6
4754.4,C6
4763.8,A#-7
4775.6,A#-7
4791.0,D#b7
4810.8,D#b7
4823.0,Gbj7
4837.6,Gbj7
4862.6,Gbj7
4862.8,Gbj7
4890.6,Gbj7
4890.8,Gbj7
4910.4,Dm7b5
4920.8,Dm7b5
4941.4,G7
4941.6,G7
4958.2,G7
4958.4,G7
4977.0,C-7
4991.2,C-7
5010.8,Am7b5
5011.0,Am7b5
5022.6,Am7b5
5037.6,Dm7b5
5051.6,Dm7b5
5051.8,Dm7b5
5068.2,G7
5080.8,G7
5091.0,C6
5107.8,C6
5108.0,C6
5125.0,A-7
5125.2,A-7
5138.6,A-7
