time,chord
10.190,D:min
12.560,E:hdim7
13.760,A:7(b9)
14.940,D:min
17.360,E:hdim7
18.530,A:7(b9)
19.770,D:min
20.960,D:min/7
22.170,D:min/b7
24.560,B:hdim7
26.910,E:7
29.310,A:aug(b7)
31.720,D:7
34.080,G:7
36.440,C:7
38.790,F:7
41.180,Bb:maj7
43.580,E:hdim7
45.990,A:7(b9)
48.360,D:min
50.770,E:hdim7
51.930,A:7(b9)
53.110,D:min
55.480,E:hdim7
56.650,A:7(b9)
57.860,D:min
59.040,D:min/7
60.250,D:min/b7
62.630,B:hdim7
64.990,E:7
67.350,A:aug(b7)
69.690,D:7
72.010,G:7
74.400,C:7
76.730,F:7
79.070,Bb:maj7
81.450,E:hdim7
83.790,A:7(b9)
86.180,D:min
88.630,E:hdim7
89.840,A:7(b9)
91.030,D:min
93.440,E:hdim7
94.600,A:7(b9)
95.760,D:min
96.980,D:min/7
98.150,D:min/b7
100.570,B:hdim7
102.900,E:7
105.270,A:aug(b7)
107.610,D:7
110.000,G:7
112.380,C:7
114.710,C:min7
115.910,F:7
117.100,Bb:maj7
119.530,E:hdim7
121.860,A:7(b9)
124.310,D:min
126.710,E:hdim7
127.930,A:7(b9)
129.100,D:min
131.480,E:hdim7
132.680,A:7(b9)
133.850,D:min
135.010,D:min/7
136.200,D:min/b7
138.550,B:hdim7
140.900,E:7
143.260,A:aug(b7)
145.660,D:7
148.060,G:7
150.370,C:7
152.690,C:min7
153.860,F:7
155.000,Bb:maj7
157.380,E:hdim7
159.760,A:7(b9)
162.160,D:min
164.560,E:hdim7
165.750,A:7(b9)
166.910,D:min
169.360,E:hdim7
170.660,A:7(b9)
171.920,D:min
173.190,D:min/7
174.470,D:min/b7
177.060,B:hdim7
