time,chord
100.600,Cj7
100.600,Cj7
100.800,A-7
100.800,A-7
101.000,D-7
101.000,D-7
101.200,G7
101.400,G7
101.600,G7
101.800,G7
102.000,E7
102.200,E7
102.400,E7
102.600,E7
102.800,Am7b5
103.000,Am7b5
103.200,Am7b5
103.400,Am7b5
103.600,D-7
103.800,D-7
104.000,D-7
104.200,D-7
104.400,Gsus7
104.600,Gsus7
104.800,Gsus7
105.000,Gsus7
105.200,Cj7
105.400,Cj7
105.600,Cj7
105.800,Cj7
106.000,A-7
106.200,A-7
106.400,A-7
106.600,A-7
106.800,D-7
107.000,D-7
107.200,D-7
107.400,D-7
107.600,G7
107.800,G7
108.000,G7
108.200,G7
108.400,E7
108.600,E7
108.800,E7
109.000,E7
109.200,A7
109.400,A7
109.600,A7
109.800,A7
110.000,D-7
110.000,D-7
110.200,Gsus7
110.200,Gsus7
110.400,Cj7
110.400,Cj7
110.600,A-7
110.600,A-7
110.800,D-7
111.000,D-7
111.000,G7
111.200,G7
111.200,E7
111.400,E7
111.400,Am7b5
111.600,Am7b5
111.600,D7
111.800,D7
111.800,Gsus7
112.000,Gsus7
112.000,Cj7
112.200,Cj7
112.200,A-7
112.400,A-7
112.400,D-7
112.600,D-7
112.600,G7
112.800,G7
112.800,C6
113.000,C6
113.200,C6
113.400,A#7
113.600,A#7
113.800,A#7
114.000,A#7
114.200,Cj7
114.400,Cj7
114.600,Cj7
114.800,Cj7
115.000,Cj7
115.200,Cj7
115.400,Cj7
115.600,Cj7
115.800,E-7
116.000,E-7
116.000,A7
116.200,A7
116.200,E-7
116.400,E-7
116.400,A7
116.600,A7
116.800,A7
117.000,Dj7
117.200,Dj7
117.400,Dj7
117.600,Dj7
117.800,Gj7
118.000,Gj7
118.200,Gj7
118.400,Gj7
118.600,Dj7
118.800,Dj7
119.000,Dj7
119.200,Dj7
119.400,Dj7
119.600,Dj7
119.600,D-7
119.800,D-7
120.000,D-7
120.200,G7
120.400,G7
120.600,G7
120.800,G7
121.000,D-7
121.200,D-7
121.400,D-7
121.400,G7
121.600,G7
121.600,E-7
121.800,E-7
122.000,E-7
122.200,A7
122.400,A7
122.600,A7
122.800,A7
123.000,D7
123.200,D7
123.400,D7
123.600,D7
123.800,Gsus7
124.000,Gsus7
124.200,Gsus7
124.400,Gsus7
124.600,Cj7
124.800,Cj7
125.000,Cj7
125.000,A-7
125.200,A-7
125.400,A-7
125.600,D-7
125.800,D-7
126.000,D-7
126.200,D-7
126.400,G7
126.600,G7
126.800,G7
127.000,G7
127.200,E7
127.400,E7
127.600,E7
127.800,E7
128.000,A7
128.200,A7
128.400,A7
128.600,A7
128.800,D7
128.800,D7
129.000,Gsus7
129.000,Gsus7
129.200,Cj7
129.200,Cj7
129.400,A79b
129.600,A79b
129.800,A79b
130.000,A79b
130.200,D-7
130.400,D-7
130.600,D-7
130.800,D-7
131.000,G7
131.200,G7
131.400,G7
131.600,G7
131.800,C6
132.000,C6
132.200,C6
132.400,C6
132.600,C6
132.800,C6
133.000,C6
133.200,D-7
133.400,D-7
133.600,D-7
133.800,G7
134.000,G7
134.200,G7
134.400,G7
134.600,Cj7
134.800,Cj7
135.000,Cj7
135.200,Cj7
135.400,A-7
135.600,A-7
135.800,A-7
136.000,A-7
136.200,D-7
136.400,D-7
136.600,D-7
136.800,D-7
137.000,G7
137.200,G7
137.400,E7
137.400,E7
137.600,Am7b5
137.600,Am7b5
137.800,D-7
137.800,D-7
138.000,Gsus7
138.000,Gsus7
138.200,Cj7
138.200,Cj7
138.400,A-7
138.400,A-7
138.600,D-7
138.600,D-7
138.800,G7
139.000,G7
139.000,E7
139.200,E7
139.200,A7
139.400,A7
139.400,D-7
139.600,D-7
139.600,Gsus7
139.800,Gsus7
140.000,Gsus7
140.200,Cj7
140.400,Cj7
140.600,Cj7
140.800,Cj7
141.000,A-7
141.200,A-7
141.400,A-7
141.600,A-7
141.800,D-7
142.000,D-7
142.200,D-7
142.200,G7
142.400,G7
142.400,E7
142.600,E7
142.600,Am7b5
142.800,Am7b5
142.800,D7
143.000,D7
143.200,D7
143.400,Gsus7
143.600,Gsus7
143.800,Gsus7
144.000,Gsus7
144.200,Cj7
144.400,Cj7
144.600,Cj7
144.800,Cj7
145.000,A-7
145.200,A-7
145.400,A-7
145.600,A-7
145.800,D-7
146.000,D-7
146.200,D-7
146.400,D-7
146.600,G7
146.800,G7
147.000,G7
147.200,G7
147.400,C6
147.600,C6
147.800,C6
148.000,C6
148.200,A#7
148.400,A#7
148.600,A#7
148.800,A#7
149.000,Cj7
149.200,Cj7
149.400,Cj7
149.600,Cj7
149.800,Cj7
150.000,Cj7
150.000,E-7
150.200,E-7
150.400,E-7
150.600,A7
150.800,A7
151.000,A7
151.200,A7
151.400,E-7
151.600,E-7
151.800,E-7
152.000,A7
152.200,A7
152.400,A7
152.600,A7
152.800,Dj7
153.000,Dj7
153.200,Dj7
153.400,Dj7
153.600,Gj7
153.800,Gj7
154.000,Gj7
154.200,Gj7
154.400,Dj7
154.600,Dj7
154.800,Dj7
155.000,Dj7
155.200,Dj7
155.400,Dj7
155.600,Dj7
155.800,Dj7
156.000,D-7
156.200,D-7
156.400,D-7
156.600,D-7
156.800,G7
157.000,G7
157.200,G7
157.400,G7
157.600,D-7
157.800,D-7
158.000,D-7
158.200,D-7
158.400,G7
158.600,G7
158.800,G7
159.000,G7
159.200,E-7
159.400,E-7
