time,chord
4.295,G:maj7
5.310,G:maj7
6.330,G:min7
6.835,C:7
7.345,G:min7
7.855,C:7
8.365,F:maj7
9.375,F:maj7
10.405,F:min7
11.430,Bb:7
12.455,Eb:7
13.485,D:7
14.520,G:min
15.550,C:hdim7
16.065,D:7
16.580,B:min7
17.615,E:7
18.650,A:min7
19.685,D:7
20.725,G:maj7
21.785,G:maj7
22.820,G:min7
23.330,C:7
23.845,G:min7
24.365,C:7
24.885,F:maj7
25.930,F:maj7
26.970,F:min7
28.020,Bb:7
29.060,Eb:7
30.110,D:7
31.150,G:maj
32.200,A:min7
32.725,D:7
33.240,G:maj/3
33.760,Bb:7
34.285,A:min7
34.810,Ab:7
35.330,G:maj7
36.370,A:min7
36.875,D:7
37.395,G:maj7
38.455,G:maj7
39.490,G:min7
40.025,C:7
40.550,G:min7
41.070,C:7
41.590,F:maj7
42.640,F:maj7
43.685,F:min7
44.720,Bb:7
45.760,Eb:7
46.795,D:7
47.830,G:min
48.865,C:hdim7
49.380,D:7
49.895,B:min7
50.910,E:7
51.925,A:min7
52.950,D:7
53.955,G:maj7
54.990,G:maj7
56.000,G:min7
56.510,C:7
57.025,G:min7
57.535,C:7
58.035,F:maj7
59.060,F:maj7
60.080,F:min7
61.105,Bb:7
62.115,Eb:7
63.140,D:7
64.165,G:maj
65.190,A:min7
65.700,D:7
66.215,G:maj/3
66.725,Bb:7
67.235,A:min7
67.740,Ab:7
68.250,G:maj7
69.260,A:min7
69.770,D:7
70.280,G:maj7
71.305,G:maj7
72.335,G:min7
72.850,C:7
73.365,G:min7
73.875,C:7
74.385,F:maj7
75.400,F:maj7
76.430,F:min7
77.445,Bb:7
78.475,Eb:7
79.500,D:7
80.540,G:min
81.580,C:hdim7
82.090,D:7
82.600,B:min7
83.645,E:7
84.700,A:min7
85.730,D:7
86.755,G:maj7
87.800,G:maj7
88.820,G:min7
89.330,C:7
89.840,G:min7
90.355,C:7
90.875,F:maj7
91.895,F:maj7
92.910,F:min7
93.925,Bb:7
94.940,Eb:7
95.955,D:7
96.975,G:maj
97.995,A:min7
98.500,D:7
99.010,G:maj/3
99.515,Bb:7
100.020,A:min7
100.535,Ab:7
101.050,G:maj7
102.080,A:min7
102.590,D:7
103.105,G:maj7
104.150,G:maj7
105.170,G:min7
105.680,C:7
106.185,G:min7
106.690,C:7
107.200,F:maj7
108.230,F:maj7
109.265,F:min7
110.310,Bb:7
111.345,Eb:7
112.375,D:7
113.395,G:min
114.430,C:hdim7
114.945,D:7
115.460,B:min7
116.460,E:7
117.510,A:min7
118.545,D:7
119.585,G:maj7
120.615,G:maj7
121.650,G:min7
122.155,C:7
122.665,G:min7
123.180,C:7
123.690,F:maj7
124.725,F:maj7
125.760,F:min7
126.785,Bb:7
127.800,Eb:7
128.835,D:7
129.865,G:maj
130.885,A:min7
131.405,D:7
131.925,G:maj/3
132.445,Bb:7
132.965,A:min7
133.475,Ab:7
133.990,G:maj7
135.020,A:min7
135.540,D:7
136.065,G:maj7
137.090,G:maj7
138.125,G:min7
138.635,C:7
139.150,G:min7
139.670,C:7
140.200,F:maj7
141.240,F:maj7
142.280,F:min7
143.310,Bb:7
144.350,Eb:7
145.410,D:7
146.440,G:min
147.470,C:hdim7
147.985,D:7
148.500,B:min7
149.525,E:7
150.570,A:min7
151.575,D:7
152.570,G:maj7
153.595,G:maj7
154.605,G:min7
155.120,C:7
155.625,G:min7
156.130,C:7
156.645,F:maj7
157.665,F:maj7
158.680,F:min7
159.695,Bb:7
160.715,Eb:7
161.745,D:7
162.770,G:maj
163.795,A:min7
164.310,D:7
164.830,G:maj/3
165.345,Bb:7
165.855,A:min7
166.365,Ab:7
166.880,G:maj7
167.920,A:min7
168.440,D:7
168.955,G:maj7
169.975,G:maj7
170.995,G:min7
171.505,C:7
172.015,G:min7
172.520,C:7
173.025,F:maj7
174.040,F:maj7
175.065,F:min7
176.080,Bb:7
177.085,Eb:7
178.080,D:7
179.095,G:min
180.100,C:hdim7
180.610,D:7
181.110,B:min7
182.145,E:7
183.165,A:min7
184.165,D:7
185.180,G:maj7
186.190,G:maj7
187.195,G:min7
187.705,C:7
188.205,G:min7
188.720,C:7
189.230,F:maj7
190.235,F:maj7
191.240,F:min7
192.235,Bb:7
193.235,Eb:7
194.240,D:7
195.240,G:maj
196.245,A:min7
196.750,D:7
197.250,G:maj/3
197.745,Bb:7
198.240,A:min7
198.745,Ab:7
199.240,G:maj7
200.250,A:min7
200.745,D:7
201.235,G:maj7
202.240,G:maj7
203.240,G:min7
203.745,C:7
204.250,G:min7
204.755,C:7
205.270,F:maj7
206.280,F:maj7
207.285,F:min7
208.295,Bb:7
209.305,Eb:7
210.325,D:7
211.345,G:min
212.365,C:hdim7
212.875,D:7
213.375,B:min7
214.375,E:7
215.390,A:min7
216.380,D:7
217.380,G:maj7
218.380,G:maj7
219.395,G:min7
219.895,C:7
220.395,G:min7
220.900,C:7
221.395,F:maj7
222.390,F:maj7
223.390,F:min7
224.405,Bb:7
225.415,Eb:7
226.420,D:7
227.445,G:maj
228.430,A:min7
228.930,D:7
229.435,G:maj/3
229.940,Bb:7
230.440,A:min7
230.940,Ab:7
231.440,G:maj7
232.450,A:min7
232.955,D:7
233.455,G:maj7
234.465,G:maj7
235.470,G:min7
235.975,C:7
236.480,G:min7
236.980,C:7
237.485,F:maj7
238.490,F:maj7
239.485,F:min7
240.500,Bb:7
241.490,Eb:7
242.495,D:7
243.505,G:min
244.515,C:hdim7
245.025,D:7
245.520,B:min7
246.520,E:7
247.525,A:min7
248.545,D:7
249.555,G:maj7
250.575,G:maj7
251.580,G:min7
252.085,C:7
252.595,G:min7
253.090,C:7
253.590,F:maj7
254.620,F:maj7
255.630,F:min7
256.650,Bb:7
257.670,Eb:7
258.700,D:7
259.720,G:maj
260.730,A:min7
261.235,D:7
261.740,G:maj/3
262.245,Bb:7
262.755,A:min7
263.255,Ab:7
263.750,G:maj7
264.745,A:min7
265.250,D:7
265.755,G:maj7
266.775,G:maj7
267.810,G:min7
268.325,C:7
268.840,G:min7
269.350,C:7
269.860,F:maj7
270.895,F:maj7
271.925,F:min7
272.950,Bb:7
273.965,Eb:7
275.005,D:7
276.035,G:min
277.065,C:hdim7
277.570,D:7
278.090,B:min7
279.120,E:7
280.145,A:min7
281.170,D:7
282.190,G:maj7
283.215,G:maj7
284.235,G:min7
284.745,C:7
285.255,G:min7
285.765,C:7
286.275,F:maj7
287.310,F:maj7
288.345,F:min7
289.355,Bb:7
290.390,Eb:7
291.420,D:7
292.450,G:maj
293.465,A:min7
293.975,D:7
294.485,G:maj/3
295.000,Bb:7
295.520,A:min7
296.025,Ab:7
296.535,G:maj7
298.555,G:maj7
299.600,G:maj7
