time,chord
102.4,C69
102.8,C69
103.2,C69
103.6,C69
104.4,E-7
104.6,E-7
105.4,E-7
105.8,A7
106.0,A7
106.6,A7
107.0,D-7
107.4,D-7
108.2,G7
108.6,G7
109.4,C69
109.6,C69
111.0,C69
111.2,C69
112.6,C69
112.8,C69
114.2,C69
114.4,C69
115.8,C69
116.0,C69
117.4,C69
117.6,C69
119.0,C69
119.2,C69
120.6,C69
120.8,C69
122.2,E-7
122.4,E-7
123.0,E-7
123.4,A7
123.8,A7
124.6,D-7
124.8,D-7
125.2,D-7
125.6,G7
126.0,G7
126.8,C69
127.0,C69
128.4,C69
128.6,C69
130.0,C69
130.2,C69
131.6,C69
131.8,C69
133.2,Em7b5
133.4,Em7b5
133.8,Em7b5
134.6,Em7b5
134.8,Em7b5
135.4,Em7b5
135.8,A79#
136.2,A79#
136.6,A79#
137.0,A79#
137.8,D-7
138.0,D-7
138.6,D-7
139.0,D-7
139.4,D-7
140.2,G7
140.4,G7
141.0,G7
141.4,G7
141.8,G7
142.0,G7
143.4,C69
143.6,C69
145.0,C69
145.2,C69
146.6,C7
146.8,C7
148.2,C7
148.4,C7
149.8,Fj7
150.0,Fj7
151.2,Fj7
151.4,Fj7
152.8,F#o
153.0,F#o
154.4,F#o
154.6,F#o
156.0,C/G
156.2,C/G
157.6,C/G
157.8,C/G
159.2,G7
159.4,G7
160.6,G7
160.8,G7
162.2,C79
162.4,C79
163.8,C79
164.0,C79
165.4,C79
165.6,C79
167.0,C79
168.4,C69
168.6,C69
170.0,C69
170.2,C69
171.6,C69
171.8,C69
173.2,C69
173.4,C69
174.2,E-7
174.4,E-7
175.8,E-7
176.0,E-7
177.2,A7
177.4,A7
178.8,A7
179.0,A7
179.4,D-7
180.2,D-7
180.4,D-7
181.6,G7
182.0,G7
182.4,C69
182.6,C69
184.0,C69
184.2,C69
185.6,C69
187.0,C69
187.2,C69
188.6,C69
188.8,C69
190.2,C69
190.4,C69
191.8,C69
192.2,C69
192.6,E-7
193.0,E-7
193.4,A7
193.8,A7
194.6,D-7
194.8,D-7
195.4,D-7
196.2,G7
196.4,G7
197.6,G7
198.4,C69
198.6,C69
200.0,C69
200.2,C69
201.6,C69
201.8,C69
203.2,C69
203.4,C69
204.8,Em7b5
205.0,Em7b5
206.4,Em7b5
206.6,Em7b5
208.0,Em7b5
208.2,Em7b5
209.6,Em7b5
209.8,Em7b5
211.2,A79#
211.6,A79#
212.0,A79#
212.4,A79#
212.8,D-7
213.2,D-7
213.6,D-7
214.0,D-7
214.4,G7
214.8,G7
215.2,G7
215.6,G7
216.0,C69
216.4,C69
216.8,C7
217.2,C7
217.6,Fj7
218.0,Fj7
218.4,F#o
218.8,F#o
219.2,C/G
219.6,C/G
220.0,G7
220.2,G7
221.6,G7
221.8,G7
222.8,C79
223.2,C79
223.6,C79
224.0,C79
224.4,C69
224.8,C69
225.6,C69
225.8,C69
227.2,C69
227.4,C69
228.2,E-7
228.4,E-7
229.0,E-7
229.4,A7
229.8,A7
230.6,D-7
231.0,D-7
231.8,G7
232.4,G7
232.8,C69
233.2,C69
233.6,C69
234.0,C69
234.4,C69
234.8,C69
235.2,C69
235.6,C69
236.0,E-7
236.2,E-7
237.6,E-7
237.8,E-7
239.2,A7
239.6,A7
240.0,D-7
240.4,D-7
240.8,G7
241.2,G7
241.6,C69
241.8,C69
243.2,C69
243.4,C69
244.8,C69
245.0,C69
245.6,C69
246.4,Em7b5
246.6,Em7b5
248.0,Em7b5
248.2,Em7b5
248.8,Em7b5
249.2,Em7b5
250.6,A79#
250.8,A79#
252.2,A79#
252.4,A79#
253.8,A79#
254.0,A79#
255.4,A79#
256.2,D-7
256.4,D-7
257.2,D-7
257.6,D-7
258.0,D-7
258.4,G7
258.8,G7
259.2,G7
259.6,G7
260.0,C69
260.2,C69
261.6,C69
261.8,C69
263.2,C7
263.4,C7
264.8,C7
265.0,C7
266.2,Fj7
266.4,Fj7
267.8,Fj7
268.0,Fj7
269.4,F#o
269.6,F#o
270.0,F#o
270.8,C/G
271.0,C/G
272.4,C/G
272.6,C/G
274.0,G7
274.2,G7
275.6,G7
275.8,G7
277.2,C79
277.6,C79
278.4,C79
278.6,C79
280.0,C79
