time,chord
170.2,D-6
170.4,D-6
170.4,D-6
170.6,D-6
170.8,D-6
171.0,Em7b5
171.2,Em7b5
171.4,Em7b5
171.6,Em7b5
171.8,A79b
172.0,A79b
172.2,A79b
172.4,A79b
172.6,D-6
172.8,D-6
173.0,D-6
173.2,D-6
173.2,D-6
173.4,Em7b5
173.6,Em7b5
173.8,Em7b5
174.0,Em7b5
174.2,A79b
174.4,A79b
174.6,A79b
174.8,A79b
175.0,D-6
175.2,D-6
175.4,D-6
175.6,D-6
175.8,D-6
176.0,D-6
176.2,D-6
176.4,D-6
176.6,Am7b5
176.8,Am7b5
177.0,Am7b5
177.2,Am7b5
177.4,D79b
177.6,D79b
177.8,D79b
178.0,G-7
178.2,G-7
178.2,G-7
178.4,G-7
178.4,G-7
178.6,G-7
178.8,G-7
179.0,G-7
179.2,G-7
179.4,G-7
179.6,G-7
179.8,B7
180.0,B7
180.2,B7
180.4,B7
180.6,E7
180.8,E7
181.0,E7
181.2,E7
181.4,G-7
181.6,G-7
181.8,G-7
181.8,C7
182.0,C7
182.0,Fj7
182.2,Fj7
182.2,Fj7
182.4,Fj7
182.6,Fj7
182.8,Em7b5
183.0,Em7b5
183.2,Em7b5
183.4,Em7b5
183.6,A7
183.8,A7
184.0,A7
184.2,Dj7
184.4,Dj7
184.6,Dj7
184.8,Dj7
185.0,Dj7
185.2,Dj7
185.4,Dj7
185.6,Dj7
185.8,Em7b5
186.0,Em7b5
186.2,Em7b5
186.4,Em7b5
186.6,A7
186.8,A7
187.0,A7
187.2,A7
187.4,D-6
187.6,D-6
187.8,D-6
188.0,D-6
188.2,D-6
188.4,D-6
188.6,Em7b5
188.8,Em7b5
189.0,Em7b5
189.0,A79b
189.2,A79b
189.4,A79b
189.6,D-6
189.8,D-6
190.0,D-6
190.2,D-6
190.4,D-6
190.6,D-6
190.8,D-6
191.0,D-6
191.2,Em7b5
191.4,Em7b5
191.6,Em7b5
191.8,Em7b5
192.0,A79b
192.2,A79b
192.4,A79b
192.6,A79b
192.8,D-6
193.0,D-6
193.2,D-6
193.4,D-6
193.6,D-6
193.8,D-6
194.0,D-6
194.2,Am7b5
194.4,Am7b5
194.4,D79b
194.6,D79b
194.8,D79b
195.0,G-7
195.2,G-7
195.2,G-7
195.4,G-7
195.4,G-7
195.6,G-7
195.8,G-7
196.0,G-7
196.2,G-7
196.4,G-7
196.6,G-7
196.8,B7
197.0,B7
197.2,B7
197.4,E7
197.6,E7
197.8,E7
198.0,E7
198.2,G-7
198.4,G-7
198.6,G-7
198.8,G-7
199.0,C7
199.2,C7
199.4,C7
199.4,Fj7
199.6,Fj7
199.6,Fj7
199.8,Fj7
200.0,Fj7
200.2,Em7b5
200.4,Em7b5
200.6,Em7b5
200.8,A7
201.0,A7
201.2,A7
201.4,Dj7
201.6,Dj7
201.8,Dj7
202.0,Dj7
202.2,Dj7
202.4,Dj7
202.6,Dj7
202.8,Dj7
203.0,Dj7
203.2,Dj7
203.2,Dj7
203.4,Dj7
203.6,Dj7
203.8,Am7b5
204.0,Am7b5
204.2,Am7b5
204.4,Am7b5
204.6,Am7b5
204.8,Am7b5
205.0,Am7b5
205.2,Am7b5
205.4,D79b
205.6,D79b
205.8,D79b
206.0,D79b
206.2,D79b
206.4,D79b
206.6,D79b
206.8,D79b
207.0,G-6
207.2,G-6
207.4,G-6
207.6,G-6
207.8,G-6
207.8,G-6
208.0,G-6
208.0,G-6
208.2,G-6
208.2,G-6
208.4,Gm7b5
208.4,Gm7b5
208.6,Gm7b5
208.6,Gm7b5
208.8,C79b
208.8,C79b
209.0,C79b
209.0,C79b
209.2,Fj7
209.2,Fj7
209.4,Fj7
209.4,Fj7
209.6,Em7b5
209.6,Em7b5
209.8,A79b
209.8,A79b
210.0,D-6
210.0,D-6
210.2,D-6
210.2,D-6
210.4,Em7b5
210.4,Em7b5
210.6,A79b
210.6,A79b
210.8,D-6
210.8,D-6
211.0,D-6
211.0,D-6
211.2,Em7b5
211.2,Em7b5
211.4,A79b
211.4,A79b
211.6,D-6
211.6,D-6
211.8,D-6
212.0,D-6
212.2,D-6
212.4,A#7
212.6,A#7
212.8,A#7
213.0,A7
213.2,A7
213.4,A7
213.6,A7
213.8,D-6
214.0,D-6
214.2,D-6
214.4,D-6
214.6,D-6
214.8,D-6
215.0,D-6
215.2,Em7b5
215.4,Em7b5
215.6,Em7b5
215.8,Em7b5
216.0,A7
216.2,A7
216.4,A7
216.6,A7
216.8,D-6
217.0,D-6
217.2,D-6
217.2,D-6
217.4,D-6
217.4,Em7b5
217.6,Em7b5
217.6,A79b
217.8,A79b
218.0,A79b
218.2,D-6
218.4,D-6
218.6,D-6
218.8,D-6
219.0,D-6
219.2,D-6
219.4,D-6
219.6,D-6
219.8,Em7b5
220.0,Em7b5
220.0,A79b
220.2,A79b
220.2,D-6
220.4,D-6
220.4,D-6
220.6,D-6
220.6,Am7b5
220.8,Am7b5
220.8,D79b
221.0,D79b
221.0,G-7
221.2,G-7
221.2,G-7
221.4,G-7
221.4,G-7
221.6,G-7
221.6,G-7
221.8,G-7
221.8,B7
222.0,B7
222.2,B7
222.4,E7
222.6,E7
222.6,G-7
222.8,G-7
222.8,C7
223.0,C7
223.2,C7
223.4,Fj7
223.6,Fj7
223.8,Fj7
224.0,Fj7
224.2,Fj7
224.4,Fj7
224.6,Fj7
224.8,Fj7
225.0,Em7b5
225.2,Em7b5
225.4,Em7b5
225.6,Em7b5
225.8,A7
226.0,A7
226.2,A7
226.4,Dj7
226.4,Dj7
226.6,Dj7
226.6,Dj7
226.8,Em7b5
226.8,Em7b5
227.0,A7
227.0,A7
227.2,D-6
227.2,D-6
227.4,D-6
227.4,D-6
227.6,Em7b5
227.6,Em7b5
227.8,A79b
227.8,A79b
228.0,D-6
228.0,D-6
228.2,D-6
228.2,D-6
228.4,Em7b5
228.6,Em7b5
228.8,Em7b5
229.0,Em7b5
229.2,A79b
229.4,A79b
229.6,A79b
229.8,A79b
230.0,D-6
230.2,D-6
230.4,D-6
230.6,D-6
230.8,D-6
230.8,D-6
231.0,Am7b5
231.0,Am7b5
231.2,D79b
231.2,D79b
231.4,G-7
231.4,G-7
231.6,G-7
231.6,G-7
231.8,G-7
231.8,G-7
232.0,G-7
232.0,G-7
232.2,B7
232.2,B7
232.4,E7
232.4,E7
232.6,G-7
232.6,G-7
232.8,C7
233.0,C7
233.2,C7
233.4,C7
233.6,Fj7
233.8,Fj7
234.0,Fj7
234.2,Fj7
234.4,Fj7
234.6,Fj7
234.8,Fj7
235.0,Fj7
235.2,Em7b5
235.4,Em7b5
235.6,Em7b5
235.8,Em7b5
236.0,A7
236.2,A7
236.4,A7
236.6,A7
236.8,Dj7
237.0,Dj7
237.2,Dj7
237.4,Dj7
237.6,Dj7
237.6,Dj7
237.8,Dj7
237.8,Dj7
238.0,Dj7
238.2,Dj7
238.4,Am7b5
238.6,Am7b5
238.6,Am7b5
238.8,Am7b5
238.8,D79b
239.0,D79b
239.2,D79b
239.4,D79b
239.6,D79b
239.8,D79b
240.0,D79b
240.2,G-6
240.4,G-6
240.6,G-6
240.8,G-6
241.0,G-6
241.2,G-6
241.4,G-6
241.6,G-6
241.8,G-6
242.0,G-6
242.2,G-6
242.2,G-6
242.4,Gm7b5
242.4,Gm7b5
242.6,Gm7b5
242.6,Gm7b5
242.8,C79b
242.8,C79b
243.0,C79b
243.0,C79b
243.2,Fj7
243.2,Fj7
243.4,Fj7
243.4,Fj7
243.6,Em7b5
243.8,Em7b5
244.0,Em7b5
244.2,Em7b5
244.4,A79b
244.6,A79b
244.8,A79b
245.0,A79b
245.2,D-6
245.4,D-6
245.6,D-6
245.8,D-6
246.0,D-6
246.2,D-6
246.4,D-6
246.6,D-6
246.8,Em7b5
247.0,Em7b5
247.2,Em7b5
247.4,Em7b5
247.6,A79b
247.8,A79b
247.8,D-6
248.0,D-6
248.0,D-6
248.2,D-6
248.4,D-6
248.6,Em7b5
248.8,Em7b5
249.0,A79b
249.0,A79b
249.2,D-6
249.2,D-6
249.4,D-6
