time,chord
255.2,A#6
255.4,A#6
255.4,G-7
255.6,G-7
255.8,G-7
256.0,C-7
256.2,C-7
256.2,F7
256.4,F7
256.6,F7
256.8,A#6
257.0,A#6
257.2,A#6
257.4,G-7
257.6,G-7
257.8,G-7
258.0,C-7
258.2,C-7
258.2,F7
258.4,F7
258.6,F7
258.8,A#6
259.0,A#6
259.2,A#6
259.4,A#6
259.6,A#7
259.8,A#7
260.0,A#7
260.2,D#b6
260.4,D#b6
260.6,D#b6
260.8,D#b6
261.0,Eo7
261.2,Eo7
261.4,Eo7
261.6,Eo7
261.8,A#6
262.0,A#6
262.2,A#6
262.4,F7
262.6,F7
262.8,F7
263.0,A#6
263.2,A#6
263.2,A#6
263.4,A#6
263.4,A#6
263.6,A#6
263.6,G-7
263.8,G-7
264.0,G-7
264.2,C-7
264.4,C-7
264.4,F7
264.6,F7
264.8,F7
265.0,A#6
265.2,A#6
265.4,A#6
265.6,A#6
265.8,G-7
266.0,G-7
266.2,G-7
266.4,C-7
266.6,C-7
266.6,F7
266.8,F7
267.0,F7
267.2,A#6
267.4,A#6
267.6,A#6
267.6,A#7
267.8,A#7
268.0,A#7
268.2,D#b6
268.4,D#b6
268.6,D#b6
268.8,Eo7
269.0,Eo7
269.2,Eo7
269.4,A#6
269.6,A#6
269.8,A#6
270.0,A#6
270.2,F7
270.4,F7
270.6,F7
270.8,A#6
270.8,A#6
271.0,A#6
271.2,A#6
271.4,A#6
271.6,A#6
271.8,D7
272.0,D7
272.2,D7
272.4,D7
272.6,D7
272.8,D7
273.0,D7
273.2,D7
273.4,D7
273.6,D7
273.8,D7
274.0,D7
274.2,D7
274.4,D7
274.6,G7
274.8,G7
274.8,G7
275.0,G7
275.0,G7
275.2,G7
275.2,G7
275.4,G7
275.6,G7
275.8,C7
276.0,C7
276.2,C7
276.4,C7
276.6,C7
276.8,C7
277.0,C7
277.0,C7
277.2,C7
277.2,C7
277.4,C7
277.6,C7
277.8,F7
278.0,F7
278.2,F7
278.4,F7
278.6,F7
278.8,F7
279.0,F7
279.2,F7
279.4,F7
279.6,F7
279.8,F7
279.8,F7
280.0,A#6
280.2,A#6
280.2,G-7
280.4,G-7
280.4,C-7
280.6,C-7
280.8,C-7
281.0,F7
281.2,F7
281.4,F7
281.6,F7
281.8,A#6
282.0,A#6
282.2,A#6
282.4,A#6
282.6,G-7
282.8,G-7
283.0,G-7
283.2,G-7
283.4,C-7
283.6,C-7
283.6,F7
283.8,F7
284.0,F7
284.2,A#6
284.4,A#6
284.6,A#6
284.8,A#6
285.0,A#7
285.2,A#7
285.4,A#7
285.6,A#7
285.8,D#b6
286.0,D#b6
286.0,Eo7
286.2,Eo7
286.2,A#6
286.4,A#6
286.4,F7
286.6,F7
286.6,A#6
286.8,A#6
286.8,A#6
287.0,A#6
287.0,A#6
287.2,A#6
287.2,G-7
287.4,G-7
287.4,C-7
287.6,C-7
287.6,F7
287.8,F7
287.8,A#6
288.0,A#6
288.0,G-7
288.2,G-7
288.2,C-7
288.4,C-7
288.4,F7
