melid,filename_sv,filename_solo,solotime,solostart_sec,status,trackid
1,ArtPepper_Anthropology_FINAL.sv,ArtPepper_Anthropology_Solo,00:51-03:21,49.0728,FINAL,1
2,ArtPepper_BluesForBlanche_FINAL.sv,ArtPepper_BluesForBlanche_Solo,00:43-03:23,40.2693,FINAL,2
3,ArtPepper_Desafinado_FINAL.sv,ArtPepper_Desafinado_Solo,02:02-03:53,120.1504,FINAL,3
4,ArtPepper_InAMellowTone_FINAL.sv,ArtPepper_InAMellowTone_Solo,01:00-04:03,56.7654,FINAL,4
5,ArtPepper_Stardust-1_FINAL.sv,ArtPepper_Stardust-1_Solo,00:15-04:32,10.4045,FINAL,5
6,ArtPepper_Stardust-2_FINAL.sv,ArtPepper_Stardust-2_Solo,05:31-10:21,328.1704,FINAL,5
7,BennyCarter_IGotItBad_FINAL.sv,BennyCarter_IGotItBad_Solo,00:00-02:52,0.0,FINAL,6
8,BennyCarter_It'sAWonderfulWorld-1_FINAL.sv,BennyCarter_It'sAWonderfulWorld-1_Solo,00:39-02:14,36.5569,FINAL,7
9,BennyCarter_It'sAWonderfulWorld-2_FINAL.sv,BennyCarter_It'sAWonderfulWorld-2_Solo,03:44-04:46,221.3684,FINAL,7
10,BennyCarter_JustFriends_FINAL.sv,BennyCarter_JustFriends_Solo,02:03-03:57,116.9287,FINAL,8
11,BennyCarter_LongAgoAndFarAway-1_FINAL.sv,BennyCarter_LongAgoAndFarAway-1_Solo,00:50-01:34,44.838,FINAL,9
12,BennyCarter_LongAgoAndFarAway-2_FINAL.sv,BennyCarter_LongAgoAndFarAway-2_Solo,02:13-03:02,129.6606,FINAL,9
13,BennyCarter_SweetLorraine_FINAL.sv,BennyCarter_SweetLorraine_Solo,01:34-03:00,87.1967,FINAL,10
14,BennyGoodman_Avalon_FINAL.sv,BennyGoodman_Avalon_Solo,01:07-01:40,62.6268,FINAL,11
15,BennyGoodman_HandfulOfKeys_FINAL.sv,BennyGoodman_HandfulOfKeys_Solo,01:53-02:06,108.1775,FINAL,12
16,BennyGoodman_Nobody'sSweetheart_FINAL.sv,BennyGoodman_Nobody'sSweetheart_Solo,01:04-01:34,59.6847,FINAL,13
17,BennyGoodman_Runnin'Wild_FINAL.sv,BennyGoodman_Runnin'Wild_Solo,01:11-01:39,68.1695,FINAL,14
18,BennyGoodman_TigerRag-1_FINAL.sv,BennyGoodman_TigerRag-1_Solo,00:06-00:56,54.5209,FINAL,15
19,BennyGoodman_TigerRag-2_FINAL.sv,BennyGoodman_TigerRag-2_Solo,00:06-00:56,137.9865,FINAL,15
20,BennyGoodman_Whispering_FINAL.sv,BennyGoodman_Whispering_Solo,00:43-01:24,42.4473,FINAL,16
21,BenWebster_ByeByeBlackbird_FINAL.sv,BenWebster_ByeByeBlackbird_Solo,02:58-05:41,169.1441,FINAL,17
22,BenWebster_DidYouCallHerToday_FINAL.sv,BenWebster_DidYouCallHerToday_Solo,03:32-05:42,204.1714,FINAL,18
23,BenWebster_MyIdeal_FINAL.sv,BenWebster_MyIdeal_Solo,01:01-03:35,52.7136,FINAL,19
24,BenWebster_NightAndDay_FINAL.sv,BenWebster_NightAndDay_Solo,01:10-03:17,62.4476,FINAL,20
25,BenWebster_WhereOrWhen_FINAL.sv,BenWebster_WhereOrWhen_Solo,02:22-04:20,135.0327,FINAL,21
26,BixBeiderbecke_I'mComingVirginia_FINAL.sv,BixBeiderbecke_I'mComingVirginia_Solo,01:28-02:59,87.0346,FINAL,22
27,BixBeiderbecke_Margie_FINAL.sv,BixBeiderbecke_Margie_Solo,01:48-02:10,105.3832,FINAL,23
28,BixBeiderbecke_RiverboatShuffle_FINAL.sv,BixBeiderbecke_RiverboatShuffle_Solo,00:56-01:33,52.9211,FINAL,24
29,BixBeiderbecke_RoyalGardenBlues_FINAL.sv,BixBeiderbecke_RoyalGardenBlues_Solo,02:25- 02:41,141.9708,FINAL,25
30,BixBeiderbecke_SinginTheBlues_FINAL.sv,BixBeiderbecke_SinginTheBlues_Solo,01:02-02:02,58.7978,FINAL,26
31,BobBerg_Angles_FINAL.sv,BobBerg_Angles_Solo,02:31-04:38,148.2956,FINAL,27
32,BobBerg_BluesForBela_FINAL.sv,BobBerg_BluesForBela_Solo,02:34-04:07,151.3234,FINAL,28
33,BobBerg_IDidn'tKnowWhatTimeItWas_FINAL.sv,BobBerg_IDidn'tKnowWhatTimeItWas_Solo,05:43-09:08,330.9778,FINAL,29
34,BobBerg_NatureOfTheBeast_FINAL.sv,BobBerg_NatureOfTheBeast_Solo,01:34-04:51,88.3791,FINAL,30
35,BobBerg_NoMoe_FINAL.sv,BobBerg_NoMoe_Solo,00:48-03:07,44.7234,FINAL,31
36,BobBerg_SecondSight_FINAL.sv,BobBerg_SecondSight_Solo,01:38-02:56,94.3265,FINAL,32
37,BobBerg_YouAndTheNightAndTheMusic_FINAL.sv,BobBerg_YouAndTheNightAndTheMusic_Solo,01:10-02:45,63.3588,FINAL,33
38,BranfordMarsalis_GutBucketSteepy_FINAL.sv,BranfordMarsalis_GutbucketSteepy_Solo,,82.418,FINAL,34
39,BranfordMarsalis_HousedFromEdward-1_FINAL.sv,BranfordMarsalis_HousedFromEdward-1_Solo,,78.9985,FINAL,35
40,BranfordMarsalis_HousedFromEdward-2_FINAL.sv,BranfordMarsalis_HousedFromEdward-2_Solo,,425.8307,FINAL,35
41,BranfordMarsalis_TheNearnessOfYou_FINAL.sv,BranfordMarsalis_TheNearnessOfYou_Solo,,171.8407,FINAL,36
42,BranfordMarsalis_ThreeLittleWords_FINAL.sv,BranfordMarsalis_ThreeLittleWords_Solo,,105.2153,FINAL,37
43,BranfordMarsalis_U.M.M.G._FINAL.sv,BranfordMarsalis_Ummg_Solo,,-1.0,FINAL,38
44,BuckClayton_AfterTheatreJump_FINAL.sv,BuckClayton_AfterTheatreJump_Solo,01:31-02:15,85.1403,FINAL,39
45,BuckClayton_DestinationK.C._FINAL.sv,BuckClayton_DestinationK.C._Solo,01:09-02:10,65.538,FINAL,40
46,BuckClayton_Dickie'sDream_FINAL.sv,BuckClayton_Dickie'sDream_Solo,00:38-01:11,32.6588,FINAL,41
47,CannonballAdderley_HighFly_FINAL.sv,CannonballAdderley_HighFly_Solo,01:57-03:58,111.0715,FINAL,42
48,CannonballAdderley_SoWhat_FINAL.sv,CannonballAdderley_SoWhat_Solo,05:11-06:58,307.7722,FINAL,43
